DESIGNATION MATERIEL;"CATEGORIE";"SOUS CATEGORIE";"N° INV. IRAP";"DESCRIPTION";"Organisme (UPS ou CNRS)";"INVENTORIABLE";"TECHNIQUE";"STATUT";"NOM du FOURNISSEUR";"MONTANT";"ORIGINE CREDITS";"CDE";"CODE COMPTABLE";"REF. MATERIEL - N° série";"groupe thematique";"groupe technique";"Numéro inventaire organisme";"Lieu de stockage";"description lieu";"NOM RESPONSABLE PROJET";"Mail responsable";"Date de mise en service"
DELL PRECISION PORTABLE M6300;"INFORMATIQUE";;"IRAP07-0542";;"CNRS";;;;"DELL";2030,32;229088;;21830000;;;;"482";;;;;"03/12/2007"
MACBOOK PRO 15.4"";"INFORMATIQUE";;"IRAP07-0543";;"CNRS";;;;"FRANCE SYSTEMES";1952,77;"9ADO0277";;21830000;;;;"481";;;;;"03/12/2007"
MEUBLE BUREAU;"MOBILIER";;"IRAP07-0544";;"CNRS";;;;"MEUBLES IKEA FRANCE SNC";3445,58;"9ADO0263";;21840000;;;;;;;;;"04/07/2007"
MACBOOK PRO;"INFORMATIQUE";;"IRAP07-0545";;"CNRS";;;;"FRANCE SYSTEMES";2776,23;"9ADO0263";;21830000;;;;"478";;;;;"02/12/2007"
PC DELL CAT 4 CONF 1 PRECISION M2400;"INFORMATIQUE";;"IRAP07-0546";;"CNRS";;;;"DELL";865,00;"9ADO0277";;21830000;;;;"485";;;;;"15/12/2007"
PC INSPIRON 6400;"INFORMATIQUE";;"IRAP07-0547";;"CNRS";;;;"DELL";1463,26;"9ADO0263";;21830000;;;;;;;;;"01/01/2007"
PC INSPIRON 6400;"INFORMATIQUE";;"IRAP07-0548";;"CNRS";;;;"DELL";1521,88;"9ADO0263";;21830000;;;;"562042";;;;;"01/01/2007"
PRECISION 380 PORTABLE M90;"INFORMATIQUE";;"IRAP07-0549";;"CNRS";;;;"DELL";2193,30;"9ADO0263";;21830000;;;;"569920";;;;;"30/05/2007"
ONDULEUR APC SMART UPS RM 3000 VA;"INFORMATIQUE";;"IRAP07-0550";;"CNRS";;;;"RSM INFORMATIQUE";1496,09;2292512;;21830000;;;;;;;;;"18/04/2007"
OPTIPLEX 745 MT - PENTIUM D 945 + SOURIS DELL OPTI;"INFORMATIQUE";;"IRAP07-0551";;"CNRS";;;;"DELL";1288,21;"9ADO0263";;21830000;;;;"569925";;;;;"21/05/2007"
MAC BOOK 13,3"  + ACCESSOIRES";"INFORMATIQUE";;"IRAP07-0552";;"CNRS";;;;"FRANCE SYSTEMES";1465,72;2290825;;21830000;;;;;;;;;"30/05/2007"
OPTIPLEX 745 MT - PENTIUM D 940;"INFORMATIQUE";;"IRAP07-0553";;"CNRS";;;;"DELL";1718,04;"9ADO0263";;21830000;;;;"570204";;;;;"30/05/2007"
SERVEUR;"INFORMATIQUE";;"IRAP07-0554";;"CNRS";;;;"NEC COMPUTERS SAS";2407,10;2290825;;21830000;;;;"572836";;;;;"23/07/2007"
GENERATEUR DE SIGNAUX + ALIMENTATION DC 150 W;"ELECTRONIQUE";;"IRAP07-0555";;"CNRS";;;;"1027361";2590,01;"9ADO0263";;21540000;;;;;;;;;"25/07/2007"
MACBOOK 13,3 BLANC + ACCESSOIRES;"INFORMATIQUE";;"IRAP07-0556";;"CNRS";;;;"FRANCE SYSTEMES";1655,53;"9ADO0263";;21830000;;;;"563148";;;;;"20/02/2007"
IMPRIMANTE HP COLOR LASERJET+GARANTIE LMS 3 ANS SU;"INFORMATIQUE";;"IRAP07-0557";;"CNRS";;;;"LASER MAINTENANCE SERVICE MIDI PYRE NEES LMS MIDI PYRENEES";3746,07;"9ADO0263";;21830000;;;;;;;;;"13/09/2007"
Vidéoprojecteur XGA-SANYO-3000 LUM;"LOGISTIQUE";;"IRAP07-0558";;"CNRS";;;;"IEC SAS";1641,47;"9ADO0263";;21830000;;;;"568775";;;;;"23/05/2007"
ETUDE ET REALISATION D'UN PROTOTYPE DE SYSTEME ...;"INSTRUMENTATION";;"IRAP07-0559";;"CNRS";;;;"MICROTEC";4039,43;"9ADO0263";;21540000;;;;"564709";;;;;"30/03/2007"
MONITEUR APPLE CINEMA DISPLAY 23'';"INFORMATIQUE";;"IRAP07-0560";;"CNRS";;;;"FRANCE SYSTEMES";1019,60;"9ADO0263";;21830000;;;;"562302";;;;;"01/01/2007"
PORTABLE DELL CONFIGURATION LATITUDE;"INFORMATIQUE";;"IRAP07-0561";;"CNRS";;;;"DELL";1691,48;229238;;21830000;;;;"570569";;;;;"11/06/2007"
PORTABLE LATITUDE D630;"INFORMATIQUE";;"IRAP07-0562";;"CNRS";;;;"DELL";1827,43;"9ADO0263";;21830000;;;;"572166";;;;;"05/07/2007"
DELL  PRECISION 690;"INFORMATIQUE";;"IRAP07-0563";;"CNRS";;;;"DELL";2168,26;"9ADO0263";;21830000;;;;;;;;;"14/09/2007"
MACBOOK 15,4" CORE DUO+PASSAGE A MACBOOK 13""3 NOIR";"INFORMATIQUE";;"IRAP07-0564";;"CNRS";;;;"FRANCE SYSTEMES";1668,46;"9ADO0263";;21830000;;;;"570791";;;;;"19/06/2007"
DELL PRECISION 690;"INFORMATIQUE";;"IRAP07-0565";;"CNRS";;;;"DELL";4122,96;"9ADO0263";;21830000;;;;"572831";;;;;"18/07/2007"
MOTEUR NOUVELLE VERSION+ ACCESSOIRES;"INSTRUMENTATION";;"IRAP07-0566";;"CNRS";;;;"1028349";16323,20;"9ADO0263";;21540000;;;;"396";;;;;"17/10/2007"
MACBOOK 13,3" CORE DUO + PASSAGE A MACBOOK 13""...";"INFORMATIQUE";;"IRAP07-0567";;"CNRS";;;;"FRANCE SYSTEMES";1237,53;"9ADO0263";;21830000;;;;;;;;;"18/09/2007"
MACBOOK 13,3" CORE DUO 2 BLANC";"INFORMATIQUE";;"IRAP07-0568";;"CNRS";;;;"FRANCE SYSTEMES";977,31;"9ADO0263";;21830000;;;;;;;;;"08/10/2007"
ORDINATEUR PRECISION 390;"INFORMATIQUE";;"IRAP07-0569";;"CNRS";;;;"DELL";1960,97;"9ADO0263";;21830000;;;;"404";;;;;"22/10/2007"
MACBOOK PRO 15.4"";"INFORMATIQUE";;"IRAP07-0570";;"CNRS";;;;"FRANCE SYSTEMES";2158,93;"9ADO0263";;21830000;;;;"600000002563";;;;;"18/10/2007"
PORTABLE LATITUDE D430;"INFORMATIQUE";;"IRAP07-0571";;"CNRS";;;;"DELL";1463,96;"9ADO0263";;21830000;;;;"410";;;;;"26/10/2007"
DELL PRECISION 490 QUAD CORE;"INFORMATIQUE";;"IRAP07-0572";;"CNRS";;;;"DELL";1452,70;"9ADO0263";;21830000;;;;"412";;;;;"30/10/2007"
Portable DELL PRECISION M6300;"INFORMATIQUE";;"IRAP07-0573";;"CNRS";;;;"DELL";2298,65;"9ADO0263";;21830000;;;;"476";;;;;"26/11/2007"
PORTABLE DELL PRECISION M6300 T7700;"INFORMATIQUE";;"IRAP07-0574";;"CNRS";;;;"DELL";2347,13;"9ADO0263";;21830000;;;;"420";;;;;"25/11/2007"
SYSTEME INTERFACE DE PUISSANCE DE MOTEUR;"INSTRUMENTATION";;"IRAP07-0575";;"CNRS";;;;"1015232";3751,94;"9ADO0263";;21540000;;;;;;;;;"22/08/2007"
CONNECTEURS+COUPLE FIXATION;"ELECTRONIQUE";;"IRAP07-0576";;"CNRS";;;;"CLI";7308,81;229221;;21540000;;;;"564705";;;;;"15/03/2007"
CONVERTISSEURS;"ELECTRONIQUE";;"IRAP07-0577";;"CNRS";;;;"INTERPOINT";31604,20;229221;;21540000;;;;"562861";;;;;"01/01/2007"
1030-0022-1-IS + EIDP (X4);"ELECTRONIQUE";;"IRAP07-0578";;"CNRS";;;;"3D PLUS";56748,03;229221;;21530000;;;;"562864";;;;;"01/01/2007"
PC MACBOOK PRO 15.4;"INFORMATIQUE";;"IRAP07-0579";;"CNRS";;;;"FRANCE SYSTEMES";2542,78;"9ADO0277";"L08197 ";21830000;;;;;;;;;"01/01/2007"
SERVEUR NEC 120RG-1;"INFORMATIQUE";;"IRAP07-0580";;"CNRS";;;;"NEC COMPUTERS SAS";5766,26;"9ADO0263";;21830000;;;;;;;;;"15/01/2007"
OPTION DE DISQUE SATA II 500 GO + OPTION DE DISQUE;"INFORMATIQUE";;"IRAP07-0581";;"CNRS";;;;"1003880";4679,95;"9ADO0277";;21830000;;;;"564975";;;;;"06/03/2007"
VME-CAN4-2 (X2) + FRAIS DE TRANSPORT;"INSTRUMENTATION";;"IRAP07-0582";;"CNRS";;;;"ESD GMBH";4215,07;"9ADO0277";;21530000;;;;"564237";;;;;"19/03/2007"
ENSEMBLE DE CAPOT POUR SOCLE;"INSTRUMENTATION";;"IRAP07-0583";;"CNRS";;;;"1045548";1486,71;229221;;21540000;;;;"563822";;;;;"26/03/2007"
Analyseur logique 16803A 96 voies 250MHz;"ELECTRONIQUE";;"IRAP07-0584";;"CNRS";;;;;;;;;"MY46000732";;;;;;"PETIOT";;01/04/2007
partie MAC PRO XEON 2,66 GHz/1 + MONITEUR APPLE  C;"INFORMATIQUE";;"IRAP07-0585";;"CNRS";;;;"FRANCE SYSTEMES";4149,67;"9ADO0277";;21830000;;;;"570424";;;;;"05/04/2007"
ETUDE REALISATION SYST. AMPLIF. DE PHOTONS;"INSTRUMENTATION";;"IRAP07-0586";;"CNRS";;;;"MICROTEC";3751,94;"9ADO0263";;21530000;;;;"571186";;;;;"29/06/2007"
Analyseur de faisceau laser;"INSTRUMENTATION";;"IRAP07-0587";;;;;;;;;;;;;;;;;"BONNAMY";;01/09/2007
MACBOOK 13,3" CORE DUO (X2)";"INFORMATIQUE";;"IRAP07-0588";;"CNRS";;;;"FRANCE SYSTEMES";2768,72;"9ADO0263";;21830000;;;;;;;;;"25/09/2007"
Multimètre;"ELECTRONIQUE";;"IRAP07-0589";;;;;;;;;;;"9400024";;;;;;"BONNAMY";;01/10/2007
DELL PRECISION INTEL CORE DUO X2;"INFORMATIQUE";;"IRAP07-0590";;"CNRS";;;;"DELL";2270,39;"9ADO0263";;21830000;;;;;;;;;"02/10/2007"
LOT 2 - CONFIG N°4 - LATITUDE D830 (X2);"INFORMATIQUE";;"IRAP07-0591";;"CNRS";;;;"DELL";3067,21;"9ADO0277";;21830000;;;;"411";;;;;"29/10/2007"
SERVEURS    (X2);"INFORMATIQUE";;"IRAP07-0592";;"CNRS";;;;"NEC COMPUTERS SAS";3369,70;"9ADO0263";;21830000;;;;"415";;;;;"05/11/2007"
DEVELOPPEMENT EQUIPEMENT DE MESURE;"INSTRUMENTATION";;"IRAP07-0593";;"CNRS";;;;"1015232";3869,18;"9ADO0263";;21540000;;;;"416";;;;;"05/11/2007"
FOURNITURE SYSTEME MULTIPIXEL;"ELECTRONIQUE";;"IRAP07-0594";;"CNRS";;;;"MICROTEC";4514,05;"9ADO0263";;21540000;;;;"485";;;;;"12/12/2007"
HARNAIS FILAIRES;"ELECTRONIQUE";;"IRAP08-0595";;"CNRS";;;;"REALISATION ELECTRONIQUE SPATIALE A ERAUN";12702,00;229221;;21540000;;;;"486";;;;;"01/01/2008"
CARTE ELECTRONIQUE + HARNAIS (ROBOT Suite 2008);"ELECTRONIQUE";;"IRAP08-0596";;"CNRS";;;;"REALISATION ELECTRONIQUE SPATIALE A ERAUN";37049,00;229221;;21540000;;;;;;;;;"09/01/2008"
OUTILLAGE ROBOT;"INSTRUMENTATION";;"IRAP08-0597";;"CNRS";;;;"AXON CABLE";27655,86;229221;;21540000;;;;;;;;;"26/03/2008"
CAPTEUR MOTEUR, CAPTEUR SUPPORT CWL;"INSTRUMENTATION";;"IRAP08-0598";;"CNRS";;;;"REALISATION ELECTRONIQUE SPATIALE A ERAUN";2092,00;"9ADO0277";;21540000;;;;"4341";;;;;"01/01/2008"
CARTE CAPACITOR VERSION EQM ET FM;"INSTRUMENTATION";;"IRAP08-0599";;"CNRS";;;;"REALISATION ELECTRONIQUE SPATIALE A ERAUN";3853,00;"9ADO0277";;21540000;;;;"4344";;;;;"01/01/2008"
MACBOOK PRO 15,4" + DIVERS ACCESSOIRES";"INFORMATIQUE";;"IRAP08-0600";;"CNRS";;;;"FRANCE SYSTEMES";1784,80;2292515;;21830000;;;;;;;;;"01/01/2008"
ORDINATEUR M63000 PRECISION;"INFORMATIQUE";;"IRAP08-0601";;"CNRS";;;;"DELL";1506,50;"9ADO0277";;21830000;;;;;;;;;"01/01/2008"
EXPANSION IO MODULE - NATIVE SAN;"INFORMATIQUE";;"IRAP08-0602";;"CNRS";;;;"1003880";1729,50;"9ADO0277";;21830000;;;;;;;;;"07/01/2008"
ADP305 SONDE ACTIVE DIFFERENTIELLE;"INSTRUMENTATION";;"IRAP08-0603";;"CNRS";;;;"LECROY SARL";992,00;"9ADO0277";;21540000;;;;;;;;;"09/01/2008"
Plaque CCMU IF Vibrations;"INSTRUMENTATION";;"IRAP08-0604";;"CNRS";;;;"DE NADAI SA";840,00;229221;;21540000;;;;;;;;;"30/01/2008"
LOT 2 EBOX MODELE FM;"INFORMATIQUE";;"IRAP08-0605";;"CNRS";;;;"CONCEPT MECANIQUE & ASSISTANCE TECHNIQUE";13846,44;229221;;21540000;;;;;;;;;"01/01/2008"
DELL PRECISION PORTABLE;"INFORMATIQUE";;"IRAP08-0606";;"CNRS";;;;"DELL";1959,50;"9ADO0277";;21830000;;;;;;;;;"01/01/2008"
SERVEUR DE CALCUL 16 PROCS;"INFORMATIQUE";;"IRAP08-0607";;"CNRS";;;;"NEC COMPUTERS SAS";5632,00;"9ADO0277";;21830000;;;;;;;;;"01/01/2008"
Cloche transparente + plateau;"INSTRUMENTATION";;"IRAP08-0608";;"CNRS";;;;"1045548";1000,00;229221;;21540000;;;;;;;;;"01/01/2008"
Cloche transparente + plateau;"INSTRUMENTATION";;"IRAP08-0609";;"CNRS";;;;"1045548";1025,75;229221;;21540000;;;;;;;;;"01/01/2008"
Amplificateur différentiel;"ELECTRONIQUE";;"IRAP08-0610";;"CNRS";;;;"1027361";1045,00;229221;;21540000;;;;;;;;;"01/01/2008"
TRANSLATION STAGE WITH TDC001;"INSTRUMENTATION";;"IRAP08-0611";;"CNRS";;;;"THORLABS GMBH";2608,95;229233;;21540000;;;;;;;;;"03/03/2008"
Cartes CAPACITOR version FM;"ELECTRONIQUE";;"IRAP08-0612";;"CNRS";;;;"REALISATION ELECTRONIQUE SPATIALE A ERAUN";2919,00;"9ADO0277";;21540000;;;;;;;;;"18/03/2008"
COPIEUR E-STUDIO 151 D;"LOGISTIQUE";;"IRAP08-0613";;"CNRS";;;;"UNION DES GROUPEMENTS D'ACHATS PUBL";879,59;"9ADO0277";;21830000;;;;;;;;;"01/01/2008"
Lot 2 OBOX modèle FM;"INSTRUMENTATION";;"IRAP08-0614";;"CNRS";;;;"COMAT CONCEPT MECANIQUE ET ASSISTAN CE TECHNIQUE";43448,94;229221;;21540000;;;;;;;;;"30/03/2008"
RETARDATEUR VARIABLE;"ELECTRONIQUE";;"IRAP08-0615";;"CNRS";;;;"1026913";1540,00;"9ADO0277";;21540000;;;;;;;;;"15/05/2008"
SEPARATEUR DE POLARISATIONS;"OPTIQUE";;"IRAP08-0616";;"CNRS";;;;"OPTIQUE DE PRECISION J FICHOU";1090,00;"9ADO0277";;21540000;;;;;;;"PARES";;"23/05/2008"
Workstation Précision T3400 Lot 1;"INFORMATIQUE";;"IRAP08-0617";;"CNRS";;;;"DELL";1321,60;"9ADO0277";;21830000;;;;;;;;;"26/05/2008"
MacBook 13,3" blanc Core Duo";"INFORMATIQUE";;"IRAP08-0618";;"CNRS";;;;"FRANCE SYSTEMES";902,26;"9ADO0277";;21830000;;;;"14990142000--99-05";;;;;"21/07/2008"
Jeu de  pieds CHEMCAM;"INSTRUMENTATION";;"IRAP08-0619";;"CNRS";;;;"1007159";12200,00;229221;;21540000;;;;;;;;;"01/02/2008"
PC PORTABLE VAIO;"INFORMATIQUE";;"IRAP08-0620";;"CNRS";;;;"EBIZCUSS.COM";1811,57;"9ADO0277";;21830000;;;;"29990284000--198B";;;;;"01/09/2008"
Enceinte Martienne;"INSTRUMENTATION";;"IRAP08-0621";;"CNRS";;;;"ASTEMEC SARL";19310,45;"9ADO0277";;21540000;;;;"14990090000--LP 599";;;;;"25/09/2008"
Pompe sèche à membrane de 3,3m3/h;"INSTRUMENTATION";;"IRAP08-0622";;"CNRS";;;;"ASTEMEC SARL";3372,00;229221;;21540000;;;;"14990277000--LP 602";;;;;"25/09/2008"
DELL LATITUDE D830 + ECRAN LCD;"INFORMATIQUE";;"IRAP08-0623";;"CNRS";;;;"DELL";1507,00;"9ADO0277";;21830000;;;;"14990280000--LP 601";;;;;"29/09/2008"
MacBook Pro 15,4" Core 2 Duo";"INFORMATIQUE";;"IRAP08-0624";;"CNRS";;;;"FRANCE SYSTEMES";2385,37;"9ADO0277";;21830000;;;;"14990353000--LP1605";;;;;"09/10/2008"
INTERFACE ENCEINTE CHARIOT -001A;"INSTRUMENTATION";;"IRAP08-0625";;"CNRS";;;;"DE NADAI SA";1340,00;229221;;21540000;;;;"14990337000--99-09";;;;;"07/10/2008"
MacBook 13,3" blanc Core 2 Duo";"INFORMATIQUE";;"IRAP08-0626";;"CNRS";;;;"FRANCE SYSTEMES";1539,95;229221;;21830000;;;;"14990535000--13";;;;;"03/11/2008"
MACPRO BIPRO QUADRI COEUR XEON;"INFORMATIQUE";;"IRAP08-0627";;"CNRS";;;;"FRANCE SYSTEMES";4052,96;229221;;21830000;;;;"14990690000--LP 614";;;;;"12/11/2008"
ALIMENTATION REGULEES;"ELECTRONIQUE";;"IRAP08-0628";;"CNRS";;;;"ELECDAN";1170,00;"9ADO0263";;21540000;;;;;;;;;"01/01/2008"
CLASSIC BLOC ALIM;"ELECTRONIQUE";;"IRAP08-0629";;"CNRS";;;;"ELECDAN";1341,00;"9ADO0263";;21540000;;;;;;;;;"01/01/2008"
MACBOOK PRO;"INFORMATIQUE";;"IRAP08-0630";;"CNRS";;;;"FRANCE SYSTEMES";1200,53;229238;;21830000;;;;;;;;;"01/01/2008"
MACBOOK PRO;"INFORMATIQUE";;"IRAP08-0631";;"CNRS";;;;"FRANCE SYSTEMES";1742,65;229238;;21830000;;;;;;;;;"01/01/2008"
MACBOOK PRO;"INFORMATIQUE";;"IRAP08-0632";;"CNRS";;;;"FRANCE SYSTEMES";1742,65;229238;;21830000;;;;;;;;;"01/01/2008"
SONY VAIO Z21WN/N;"INFORMATIQUE";;"IRAP08-0633";;"CNRS";;;;"INMAC WSTORE MISCO";1819,32;229091;;21830000;;;;"14990898000--LP/619";;;;;"27/11/2008"
REGULATEUR DE TEMPERATURE;"INSTRUMENTATION";;"IRAP08-0634";;"CNRS";;;;"CRYOFORUM";6148,00;"9ADO0277";;21540000;;;;"29991357000--INSU0046";;;;;"05/12/2008"
Matériel sonorisation;"LOGISTIQUE";;"IRAP08-0635";;"CNRS";;;;"SAS IEC";3722,95;"9ADO0263";;21530000;;;;;;;"ATTEIA";;"01/01/2008"
Video projecteur +ecran;"LOGISTIQUE";;"IRAP08-0636";"VISIOCONFERENCE PORTABLE";"CNRS";;;;"SAS IEC";3895,00;"9ADO0263";;21530000;;;;;;;"ATTEIA";;"01/01/2008"
BAIE SERVEUR TRANSTEC;"INFORMATIQUE";;"IRAP08-0637";;"CNRS";;;;"1028452";1110,00;"9ADO0263";;21830000;;;;;;;;;"18/04/2008"
N-SERIES T5400-INTEL XEON E5430;"INFORMATIQUE";;"IRAP08-0638";;"CNRS";;;;"DELL ";1700,00;229233;;21830000;;;;"14990765000--19";;;;;"09/12/2008"
Précision T3400 525W;"INFORMATIQUE";;"IRAP08-0639";;"CNRS";;;;"DELL";1170,20;"9ADO0263";;21830000;;;;;;;;;"16/04/2008"
APPLE MONITEUR 30" TFT DVI";"INFORMATIQUE";;"IRAP08-0640";;"CNRS";;;;"FRANCE SYSTEMES";1263,51;229221;;21830000;;;;"CNES 2816";;;;;"11/12/2008"
HUBLOT EN SILICE + ACCESSOIRES;"INSTRUMENTATION";;"IRAP08-0641";;"CNRS";;;;"MDC VACUUM PRODUCTS";2565,93;"9ADO0263";;21540000;;;;;;;;;"27/02/2008"
ENCEINTE UHV + ACESSOIRES;"ELECTRONIQUE";;"IRAP08-0642";;"CNRS";;;;"MDC VACUUM PRODUCTS";4225,00;"9ADO0263";;21540000;;;;;;;;;"18/04/2008"
MACBOOK PRO + HOUSSE;"INFORMATIQUE";;"IRAP08-0643";;"CNRS";;;;"FRANCE SYSTEMES";1388,70;"9ADO0263";;21830000;;;;;;;;;"01/01/2008"
ONDULEUR APC SMART UPS RM 3000 VA;"INFORMATIQUE";;"IRAP08-0644";;"CNRS";;;;"1028452";1260,00;"9ADO0263";;21830000;;;;;;;;;"02/05/2008"
DETECTEUR DE RAYONNEMENT;"INSTRUMENTATION";;"IRAP08-0645";;"CNRS";;;;"AMPTEK INC";4566,40;"9ADO0263";;21540000;;;;"29981325000--98E01";;;;;"29/05/2008"
Réalisation modules émetteur lumière;"INSTRUMENTATION";;"IRAP08-0646";;"CNRS";;;;"MICROTEC";3400,00;"9ADO0263";;21540000;;;;"14990136000--LP 597";;;;;"30/06/2008"
LICENCE TIME NAVIGATION WORKGROUP;"INFORMATIQUE";;"IRAP08-0647";;"CNRS";;;;"CAPELLA MEDIA";3807,00;"9ADO0263";;20530000;;;;"14990140000--99-03";;;;;"18/07/2008"
MACBOOK PRO 15"4";"INFORMATIQUE";;"IRAP08-0648";;"CNRS";;;;"FRANCE SYSTEMES";2084,99;"9ADO0263";;21830000;;;;"14990032000--99 01";;;;;"10/06/2008"
MAC BOOK PRO 15,4;"INFORMATIQUE";;"IRAP08-0649";;"CNRS";;;;"FRANCE SYSTEMES";1761,17;2292512;;21830000;;;;"14990335000--LP 598";;;;;"02/10/2008"
PORTABLE DELL LATITUDE D630;"INFORMATIQUE";;"IRAP08-0650";;"CNRS";;;;"DELL";1055,00;2292512;;21830000;;;;"14990354000--LP/603";;;;;"13/10/2008"
1 PORTABLE LATITUDE;"INFORMATIQUE";;"IRAP08-0651";;"CNRS";;;;"DELL";1430,00;"9ADO0263";;21830000;;;;"14990560000--ABS";;;;;"03/11/2008"
1 SERVEUR;"INFORMATIQUE";;"IRAP08-0652";;"CNRS";;;;"NEC COMPUTERS SAS";2720,00;"9ADO0263";;21830000;;;;"14990407000--LP 613";;;;;"29/10/2008"
1 SERVEUR;"INFORMATIQUE";;"IRAP08-0653";;"CNRS";;;;"NEC COMPUTERS SAS";2720,00;"9ADO0263";;21830000;;;;"14990416000--LP 612";;;;;"29/10/2008"
1 SERVEUR;"INFORMATIQUE";;"IRAP08-0654";;"CNRS";;;;"NEC COMPUTERS SAS";2720,00;"9ADO0263";;21830000;;;;"14990434000--LP/610";;;;;"29/10/2008"
FIREWALL NETASQ U450;"INFORMATIQUE";;"IRAP08-0655";;"CNRS";;;;"INTERACT SYSTEMES SUD OUEST";11890,80;"9ADO0263";;21830000;;;;"14990539000--LP 616";;;;;"04/11/2008"
MACBOOK 13,3"";"INFORMATIQUE";;"IRAP08-0656";;"CNRS";;;;"FRANCE SYSTEMES";1198,47;"9ADO0263";;21830000;;;;"29990963000--INSU049";;;;;"10/11/2008"
APC SMART UPS RM;"INFORMATIQUE";;"IRAP08-0657";;"CNRS";;;;"1028452";1109,00;"9ADO0263";;21830000;;;;"14990735000--12-99+";;;;;"14/11/2008"
PONT RLC 5 MHZ;"ELECTRONIQUE";;"IRAP08-0658";;"CNRS";;;;"EQUIPEMENTS SCIENTIFIQUES";5440,85;263982;;21540000;;;;"14990724000--DR 1";;;;;"21/11/2008"
MACBOOK PRO 15"4";"INFORMATIQUE";;"IRAP08-0659";;"CNRS";;;;"FRANCE SYSTEMES";1661,23;"9ADO0263";;21830000;;;;"14990745000--LP/606";;;;;"14/11/2008"
BAIE DE DISQUE POUR SERVEUR LINUX;"INFORMATIQUE";;"IRAP08-0660";;"CNRS";;;;"1028452";11628,00;"9ADO0263";;21830000;;;;"14990899000--LP/620";;;;;"01/12/2008"
SERVEUR NEC EXPRESS 5800 120 RJ-2;"INFORMATIQUE";;"IRAP08-0661";;"CNRS";;;;"NEC COMPUTERS SAS";2625,00;2292512;;21830000;;;;"14000394000--000";;;;;"15/12/2008"
Système émission et détection  faibles éclairement;"INSTRUMENTATION";;"IRAP08-0662";;"CNRS";;;;;61983,52;;;21540000;;;;"29990163000--INSU0043";;;;;"30/06/2008"
ORDINATEUR PORTABLE LATITUDE D420;"INFORMATIQUE";;"IRAP08-0663";;"CNRS";;;;"DELL";1098,40;"9ADO0263";;21830000;;;;;;;;;"01/01/2008"
ORDINATEUR PORTABLE D430 LATITUDE;"INFORMATIQUE";;"IRAP08-0664";;"CNRS";;;;"DELL";1098,40;"9ADO0263";;21830000;;;;;;;;;"01/01/2008"
Appareil de mesure tridimentionnelle;"INSTRUMENTATION";;"IRAP08-0665";;;;;;;;;;;;;;;;;"AMOROS";;01/01/2008
SOLUTION DE STOCKAGE ET DE SAUVEGARDE;"INFORMATIQUE";;"IRAP08-0666";;"CNRS";;;;"CAPELLA MEDIA";29880,40;"9ADO0263";;21830000;;;;;;;;;"25/02/2008"
Transformateur  AUTO-TRANSFO;"INSTRUMENTATION";;"IRAP08-0667";;;;;;;;;;;"085393";;;"29990033000--980DA01";;;"BONNAMY";;01/06/2008
Imprimante XEROX PHASER 8560 ADN;"INFORMATIQUE";;"IRAP08-0668";;"CNRS";;;;"LASER MAINTENANCE SERVICE MIDI PYRE NEES LMS MIDI PYRENEES";2492,20;"9ADO0263";;21830000;;;;"29990166000--INSU0044";;;;;"30/06/2008"
Submittal of Hardware/Software;"INFORMATIQUE";;"IRAP08-0669";;"CNRS";;;;"1062114";23100,00;229233;;21540000;;;;"14990435000--LP/611";;;;;"29/10/2008"
composants étalons Pont RLC 3532-50;"INSTRUMENTATION";;"IRAP08-0670";;;;;;;;;;;81108655;;;"14990471000--LP 615";;;"PETIOT";;01/11/2008
BOITIER D ACQUISITION;"INSTRUMENTATION";;"IRAP08-0671";;"UPS";;;;;3990,00;2292512;"9007";21540000;"SPA-3";;;"14990747000--LP/604";;;;;"14/11/2008"
Micro Balance à quartz;"ELECTRONIQUE";;"IRAP08-0672";;;;;;;;;;;"91214";;;"29991288000--INSU0045";;;"BONNAMY";;01/12/2008
LATITUDE E6400 Lot 2 - Configuration n°2;"INFORMATIQUE";;"IRAP09-0673";;"CNRS";;;;"DELL";891,00;229212;;21830000;;;;"29010788000--INSU0035";;;;;"01/01/2009"
LATITUDE E6500 INTEL CORE 2 DUO;"INFORMATIQUE";;"IRAP09-0674";;"CNRS";;;;"DELL";1071,00;229088;;21830000;;;;"14000352000--LP629/630";;;;;"01/01/2009"
PC Latitude E6400 DELL;"INFORMATIQUE";;"IRAP09-0675";;"CNRS";;;;"DELL";1251,55;229221;;21830000;;;;"14000427000--ATT";;;;;"01/01/2009"
PC PORTABLE LATITUDE E6500 15.4'  DELL;"INFORMATIQUE";;"IRAP09-0676";;"CNRS";;;;"DELL";960,50;229221;;21830000;;;;"29000999000--INSU0048";;;;;"01/01/2009"
ORDINATEUR DELL LATITUDE E6400 INTEL CORE 2 DUO;"INFORMATIQUE";;"IRAP09-0677";;"CNRS";;;;"DELL";969,10;229233;;21830000;;;;"14000633000--LP/626";;;;;"01/01/2009"
POMPE A PALETTE SERIE PASCAL PPM UM2021SD;"INSTRUMENTATION";;"IRAP09-0678";;"CNRS";;;;"ADIXEN VACUUM PRODUCTS";1516,40;229221;;21540000;;;;"14000740000--09-2000";;;;;"01/01/2009"
SERVEUR PROLIANT ML350 G5;"INFORMATIQUE";;"IRAP09-0679";;"CNRS";;;;"INMAC WSTORE MISCO";2889,28;229088;;21830000;;;;"14000742000--08-2000";;;;;"01/01/2009"
