DESIGNATION MATERIEL;"CATEGORIE";"SOUS CATEGORIE";"N° INV. IRAP";"DESCRIPTION";"Organisme (UPS ou CNRS)";"INVENTORIABLE";"TECHNIQUE";"STATUT";"NOM du FOURNISSEUR";"MONTANT";"ORIGINE CREDITS";"CDE";"CODE COMPTABLE";"REF. MATERIEL - N° série";"groupe thematique";"groupe technique";"Numéro inventaire organisme";"Lieu de stockage";"description lieu";"NOM RESPONSABLE PROJET";"Mail responsable";"Date de mise en service"
ATTENUATEUR;"INSTRUMENTATION";;"IRAP12-1125";;" CNRS";;;;"LEASAMETRIC";835,12;313973;"L06984";;;;;"14061394000--118-2006";;;"RAMBAUD";;11/04/2012
PC CAT 5 CONF 2 PRECISION;"INFORMATIQUE";;"IRAP12-1126";;"CNRS";;;;"DELL ";2180,00;322201;"L06915";;;;;"14060778000--117-2006";;;"MOT";;07/04/2012
WME STANDARD 4kv/1 Ma;"INSTRUMENTATION";;"IRAP12-1127";;"CNRS";;;;"PHYSICAL INSTRUMENTS";2035,00;321803;"L05404";;;;;"14060762000--XLAB112-2006";;;"FEDOROV";;05/04/2012
CARTE VME64x PUISSANCE 1000w;"INSTRUMENTATION";;"IRAP12-1128";;"CNRS";;;;"PHYSICAL INSTRUMENTS";4745,00;315457;"L05403";;;;;"29060656000--INSU127";;;"FEDOROV";;05/04/2012
3 CARTES FPGA VIRTEX;"ELECTRONIQUE";;"IRAP12-1129";;"CNRS";;;;"FARNELL FRANCE FARNELL INONE";4829,43;2292362;"L07015";;;;;"29060547000--102-2006";;;"CROS";;21/03/2012
CAMERA INFRAROUGE;"INSTRUMENTATION";;"IRAP12-1130";;"CNRS";;;;"LOT ORIEL";16400,00;"RP ";"L05128";;;;;"29060857000--2006-124";;;;;06/05/2012
PORTABLE CAT 3 CONF 6;"INFORMATIQUE";;"IRAP12-1131";;"CNRS";;;;"DELL ";1236,00;28749131;"L07178";;;;;"29060854000--2006-123";;;"BABY";;03/05/2012
CAT 5 CON2 PRECISION M6600;"INFORMATIQUE";;"IRAP12-1132";;"CNRS";;;;"DELL ";2180,00;315654;"L06916";;;;;"29060686000--2006-114";;;"MARTY";;26/04/2012
ALIM + 20 Kv DC SINGLE POLARITY;"INSTRUMENTATION";;"IRAP12-1133";;"CNRS";;;;"OPTOPRIM";1995,00;"RP ";"L07196";;;;;"29060715000--2006-119";;;"SERAN";;02/05/2012
MACBOK PRO 15,4" LEC/CORE";"INFORMATIQUE";;"IRAP12-1134";;"CNRS";;;;"FRANCE SYSTEMES ";1856,83;28749131;"L07176";;;;;"29060774000--2006-122";;;"BABY";;02/05/2012
